From	To	Species	Gene Name
Q5VSP4	LCN1	Homo sapiens	lipocalin 1-like 1; lipocalin 1 (tear prealbumin)
Q5VSP4	LCN1L1	Homo sapiens	lipocalin 1-like 1; lipocalin 1 (tear prealbumin)
Q3LRW5	tp53	Homo sapiens	tumor protein p53
Q8NDH0	Wdr6	Homo sapiens	WD repeat domain 6
Q1XBU7	LOC729992	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
Q1XBU7	st13	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
Q1XBU7	LOC344328	Homo sapiens	similar to heat shock 70kD protein binding protein; suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
P07437	TUBBP2	Homo sapiens	tubulin, beta; similar to tubulin, beta 5; tubulin, beta pseudogene 2; tubulin, beta pseudogene 1
P07437	TUBBP1	Homo sapiens	tubulin, beta; similar to tubulin, beta 5; tubulin, beta pseudogene 2; tubulin, beta pseudogene 1
P07437	LOC442308	Homo sapiens	tubulin, beta; similar to tubulin, beta 5; tubulin, beta pseudogene 2; tubulin, beta pseudogene 1
P07437	tubB	Homo sapiens	tubulin, beta; similar to tubulin, beta 5; tubulin, beta pseudogene 2; tubulin, beta pseudogene 1
Q92928	rab1C	Homo sapiens	RAB1C, member RAS oncogene family pseudogene
Q6DRA6	HIST2H2BD	Homo sapiens	histone cluster 2, H2bd
B3KWD0	xpo1	Homo sapiens	exportin 1 (CRM1 homolog, yeast)
Q3ZCM7	TUBB8	Homo sapiens	tubulin, beta 8
Q59ES1	LTA4H	Homo sapiens	leukotriene A4 hydrolase
Q0QET7	LOC100133042	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase-like 6; hypothetical protein LOC100133042; glyceraldehyde-3-phosphate dehydrogenase
Q0QET7	GAPDH	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase-like 6; hypothetical protein LOC100133042; glyceraldehyde-3-phosphate dehydrogenase
Q0QET7	GAPDHL6	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase-like 6; hypothetical protein LOC100133042; glyceraldehyde-3-phosphate dehydrogenase
Q9UBB4	atxn10	Homo sapiens	ataxin 10
Q53G62	mRpS28	Homo sapiens	mitochondrial ribosomal protein S28
Q4LE64	NUMA1	Homo sapiens	nuclear mitotic apparatus protein 1
A8MY74	FYTTD1	Homo sapiens	forty-two-three domain containing 1
