proj	Name	pdesc	exp	edesc	Comment
IDIRT	specificity in IP of different kinds	Codon optimized (LD401, LD288) or WT (MT302) L1 was expressed with different isotopic labeling (tagged was heavy, untagged was light and the cell powders were mixed before purification); ORF1-FLAG (LD288) of ORF2p-3xFLAG (LD401, MT302) was purified and washed; then the material was eluted and analyzed.	1a	heavy LD288, light LD259, 1 hour	The degree to which proteins specifically co-purify with codon optimized ORF1-FLAG (determined by %H). NOTE: these are "equilibrium" experiments, but are conducted with distinctive end points.. there is some kinetic data in here by looking at the difference in the H/L ratios in the 2 time points.
IDIRT	specificity in IP of different kinds	Codon optimized (LD401, LD288) or WT (MT302) L1 was expressed with different isotopic labeling (tagged was heavy, untagged was light and the cell powders were mixed before purification); ORF1-FLAG (LD288) of ORF2p-3xFLAG (LD401, MT302) was purified and washed; then the material was eluted and analyzed.	2a	heavy LD288, light LD259, 5 min	The degree to which proteins specifically co-purify with codon optimized ORF1-FLAG (determined by %H). NOTE: these are "equilibrium" experiments, but are conducted with distinctive end points.. there is some kinetic data in here by looking at the difference in the H/L ratios in the 2 time points.
IDIRT	specificity in IP of different kinds	Codon optimized (LD401, LD288) or WT (MT302) L1 was expressed with different isotopic labeling (tagged was heavy, untagged was light and the cell powders were mixed before purification); ORF1-FLAG (LD288) of ORF2p-3xFLAG (LD401, MT302) was purified and washed; then the material was eluted and analyzed.	1b	heavy LD401, light LD259, 1 hour	The degree to which proteins specifically co-purify with codon optimized ORF2-3xFLAG (determined by %H). NOTE: these are "equilibrium" experiments, but are conducted with distinctive end points.. there is some kinetic data in here by looking at the difference in the H/L ratios in the 2 time points. Probably not as much difference as observed for the LD288 experiments (1a, 2a).
IDIRT	specificity in IP of different kinds	Codon optimized (LD401, LD288) or WT (MT302) L1 was expressed with different isotopic labeling (tagged was heavy, untagged was light and the cell powders were mixed before purification); ORF1-FLAG (LD288) of ORF2p-3xFLAG (LD401, MT302) was purified and washed; then the material was eluted and analyzed.	2b	heavy LD401, light LD259, 30 min	The degree to which proteins specifically co-purify with codon optimized ORF2-3xFLAG (determined by %H). NOTE: these are "equilibrium" experiments, but are conducted with distinctive end points.. there is some kinetic data in here by looking at the difference in the H/L ratios in the 2 time points. Probably not as much difference as observed for the LD288 experiments (1a, 2a).
IDIRT	specificity in IP of different kinds	Codon optimized (LD401, LD288) or WT (MT302) L1 was expressed with different isotopic labeling (tagged was heavy, untagged was light and the cell powders were mixed before purification); ORF1-FLAG (LD288) of ORF2p-3xFLAG (LD401, MT302) was purified and washed; then the material was eluted and analyzed.	1c	light MT289, 1 hour	The degree to which proteins specifically co-purify with WT ORF2-3xFLAG (determined by %H)
IDIRT	specificity in IP of different kinds	Codon optimized (LD401, LD288) or WT (MT302) L1 was expressed with different isotopic labeling (tagged was heavy, untagged was light and the cell powders were mixed before purification); ORF1-FLAG (LD288) of ORF2p-3xFLAG (LD401, MT302) was purified and washed; then the material was eluted and analyzed.	2c	None	None
Tandem	2D IP - 1st ORF2p, then ORF1p	Codon optimized L1 was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified and washed; then eluted with 3xFLAG peptide; the eluted material was purified by ORF1p using an anti-ORF1p monoclonal antibody and washed; then the material was eluted and different purified isotope labeled materials were mixed to find the difference between the anti-ORF1p elution, and the unbound supernatant fraction.	1f	LD401: light supernatant, heavy elution	The degree to which a protein follows codon optimized ORF2-3xFLAG in a 2D affinity purification (determined by %H)
Tandem	2D IP - 1st ORF2p, then ORF1p	Codon optimized L1 was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified and washed; then eluted with 3xFLAG peptide; the eluted material was purified by ORF1p using an anti-ORF1p monoclonal antibody and washed; then the material was eluted and different purified isotope labeled materials were mixed to find the difference between the anti-ORF1p elution, and the unbound supernatant fraction.	1m	LD401: heavy supernatant, light elution	The degree to which a protein follows codon optimized ORF2-3xFLAG in a 2D affinity purification (determined by %L) NOTE: This is %L to follow the proteins in the elution.
RNAse	sensitivity to RNase A/T1 treatment for maintenance of interaction with ORF2p	Codon optimized L1 was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified; on the beads it was treated with RNase A/T1 OR BSA; after treatment the supernatant was removed and beads washed; then the material was eluted and different purified isotope labeled materials were mixed. 	3b	LD401: light RNAse-treated, heavy BSA-treated, MS run2	The degree to which a protein is released from an interaction with ORF2-3xFLAG after treatment with RNases. The %H is used to determine which proteins are MORE present in the BSA treated - the proteins that are less present are considered RNase sensitive.
RNAse	sensitivity to RNase A/T1 treatment for maintenance of interaction with ORF2p	Codon optimized L1 was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified; on the beads it was treated with RNase A/T1 OR BSA; after treatment the supernatant was removed and beads washed; then the material was eluted and different purified isotope labeled materials were mixed. 	4a	LD401: light BSA-treated, heavy RNAse-treated	The degree to which a protein is released from an interaction with ORF2-3xFLAG after treatment with RNases. The %L is used to determine which proteins are MORE present in the BSA treated - the proteins that are less present are considered RNase sensitive.
ORF2	ORF2-only) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy and light isotopic labeling; Codon optimized ORF2p-3xFLAG was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. NOTE: the fixation and no fixation are just two different ways of treating the gels - which each bias the results differently because they influence peptide recovery. These data should be complementary, and perhaps should be combined.	fix3	heavy LD401 + light LD561, gel fixation	The degree to which a protein relies upon ORF1 or the combination of ORF1 and ORF2 (and L1 RNA) to be co-purified with codon optimized ORF2-3xFLAG (determined by %H).
ORF2	ORF2-only) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy and light isotopic labeling; Codon optimized ORF2p-3xFLAG was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. NOTE: the fixation and no fixation are just two different ways of treating the gels - which each bias the results differently because they influence peptide recovery. These data should be complementary, and perhaps should be combined.	fix4	light LD401 + heavy LD561, gel fixation	The degree to which a protein relies upon ORF1 or the combination of ORF1 and ORF2 (and L1 RNA) to be co-purified with codon optimized ORF2-3xFLAG (determined by %L).
ORF2	ORF2-only) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy and light isotopic labeling; Codon optimized ORF2p-3xFLAG was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. NOTE: the fixation and no fixation are just two different ways of treating the gels - which each bias the results differently because they influence peptide recovery. These data should be complementary, and perhaps should be combined.	nofix3	light LD401 + heavy LD561, no gel fixation	The degree to which a protein relies upon ORF1 or the combination of ORF1 and ORF2 (and L1 RNA) to be co-purified with codon optimized ORF2-3xFLAG (determined by %L) .
ORF2	ORF2-only) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy and light isotopic labeling; Codon optimized ORF2p-3xFLAG was expressed in heavy and light isotopic labeling; ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. NOTE: the fixation and no fixation are just two different ways of treating the gels - which each bias the results differently because they influence peptide recovery. These data should be complementary, and perhaps should be combined.	nofix4	heavy LD401 + light LD561, no gel fixation	The degree to which a protein relies upon ORF1 or the combination of ORF1 and ORF2 (and L1 RNA) to be co-purified with codon optimized ORF2-3xFLAG (determined by %H) .
EndoMut	ORF1/ORF2 endonuclease mutant L1) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy isotopic labeling; Codon optimized EN-mutant L1 expressed without labeling (equivalent to L - we compared L to no labeling and found no significant difference); ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. 	51f	heavy LD401 + light LD567, replicate 1 run on QExactive	The degree to which a protein relies upon EN activity to be co-purified with codon optimized ORF2-3xFLAG (determined by %H) .
EndoMut	ORF1/ORF2 endonuclease mutant L1) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy isotopic labeling; Codon optimized EN-mutant L1 expressed without labeling (equivalent to L - we compared L to no labeling and found no significant difference); ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. 	52f	heavy LD401 + light LD567, replicate 2 run on Fusion	The degree to which a protein relies upon EN activity to be co-purified with codon optimized ORF2-3xFLAG (determined by %H) .
EndoMut	ORF1/ORF2 endonuclease mutant L1) versus 401 (codon optimized ORF1/ORF2 L1	Codon optimized L1 (ORF1/ORF2) was expressed in heavy isotopic labeling; Codon optimized EN-mutant L1 expressed without labeling (equivalent to L - we compared L to no labeling and found no significant difference); ORF2p-3xFLAG was purified and washed; then the material was eluted and different purified isotope labeled materials were mixed. 	53f	heavy LD401 + light LD567, replicate 3 run on Fusion	The degree to which a protein relies upon EN activity to be co-purified with codon optimized ORF2-3xFLAG (determined by %H) .
